Term,Coefficient
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.07373725018871524
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.07373725018871524
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302826
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117303268
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730373
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117303255
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.069976274653247
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.07373725018871524
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.0626722911730249
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.07373725018871524
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302042
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
d^2u/dx0^2,-1.0
d^2u/dx1^2,0.06267229117302504
d^2u/dx0^2,-1.0
