Term,Coefficient
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-1.0
u,0.04320924089782601
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
d^2u/dx0^2,-1.0
u,-2.674095338038492
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296248
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
du/dx0,-0.23855751795296273
d^2u/dx0^2,-1.0
u,-2.6641967883409463
